1669.2495,2521.4531;2475.5872,2520.5823;2475.4456,2575.1482;1669.1292,2576.0007
61.178493,781.7465;117.82876,781.7347;117.84115,857.08716;61.19384,857.10693
1675.9808,1721.9584;2403.7825,1722.2576;2403.6865,1780.4982;1675.8859,1780.2021
557.3687,337.90405;1486.999,337.90402;1487.029,415.5117;557.3957,415.51556
66.5014,325.65945;111.50821,325.66647;111.50606,413.24445;66.51761,413.2742
56.783943,977.59863;113.28943,977.49335;113.263504,1083.267;56.75849,1083.3452
2537.961,316.3806;3619.3936,315.96143;3619.2,493.33444;2537.778,493.70596
2607.4246,748.8004;3542.4714,748.8058;3542.4958,1156.435;2607.4597,1156.4084
4057.495,329.51538;4655.3916,329.3525;4655.303,473.62982;4057.4146,473.79602
1839.4055,298.95474;2390.9888,298.88644;2390.9448,470.13983;1839.3622,470.2113
4040.928,592.6039;4627.2783,592.563;4627.2505,746.6018;4040.8997,746.6462
59.297768,680.6056;111.88733,680.5886;111.904915,797.271;59.323036,797.2822
1670.7365,845.6991;2333.4436,845.415;2333.3235,950.18555;1670.6202,950.4136
65.699066,2161.0066;115.280014,2160.8872;115.233284,2234.7998;65.66923,2234.9458
65.94253,1632.584;111.13826,1632.3186;111.02324,1712.3052;65.8545,1712.5684
66.35438,2879.7473;119.43166,2879.7246;119.43051,2962.8242;66.35789,2962.8535
60.613167,2035.391;116.25064,2035.4003;116.26008,2111.3079;60.62212,2111.3076
62.798534,857.1645;118.89082,857.1611;118.912186,932.16547;62.827232,932.1783
2711.624,1361.0355;3439.0542,1360.9989;3439.0808,1488.9637;2711.6548,1488.9695
2526.9993,319.30566;4006.5305,319.0136;4006.387,496.8864;2526.8606,497.1525
1677.205,1315.5652;2496.871,1315.19;2496.7268,1409.1539;1677.0676,1409.4772
3995.9158,974.9204;4685.9946,974.64966;4685.8677,1136.3121;3995.795,1136.5613
247.9746,2489.7095;287.3151,2489.609;287.30447,2531.8425;247.96744,2531.9597
64.88707,1948.6122;116.51702,1948.5631;116.51243,2033.9036;64.89168,2033.9636
60.75515,559.9185;117.37398,559.8259;117.3388,656.18097;60.722797,656.27045
61.903553,440.13257;117.70911,439.98093;117.6526,506.88614;61.84732,507.03714
2653.8313,2083.9175;3625.2249,2083.7747;3625.1692,2310.073;2653.779,2310.1736
61.911095,2469.1465;117.71264,2469.1755;117.736534,2547.8613;61.94086,2547.8494
83.13341,3662.2188;193.2374,3662.1833;193.2245,3748.3018;83.111,3748.328
77.37849,89.75925;210.76009,89.74007;210.7699,194.10138;77.39586,194.14278
72.818436,3371.6873;155.18588,3371.4155;155.05664,3472.7852;72.68714,3473.0303
65.77123,3170.8936;169.01846,3170.768;168.97522,3255.3254;65.72131,3255.4258
46.328606,3022.5117;135.96094,3022.478;135.9648,3107.7559;46.33359,3107.7966
67.80507,3562.483;203.59047,3562.3367;203.55002,3706.9329;67.77766,3707.067
74.76372,2742.3591;171.83945,2742.2974;171.83688,2801.283;74.75303,2801.3489
61.068516,1510.9048;114.0138,1510.8904;114.023384,1584.7156;61.08573,1584.7421
60.593143,243.48177;105.34809,243.48029;105.35719,355.19873;60.61447,355.23215
60.57681,1203.297;111.495155,1203.2871;111.50097,1314.1561;60.595642,1314.176
54.61852,184.11981;110.72176,184.11342;110.72333,311.2496;54.621605,311.2876
1266.3278,3378.2104;1298.203,3378.245;1298.2421,3412.0996;1266.3864,3412.06
2527.2163,1785.4637;3632.3777,1785.4584;3632.3777,1992.7671;2527.2058,1992.7587
56.965996,1028.2119;113.99067,1028.2084;114.00039,1133.941;56.97452,1133.9402
