641.54407,455.7472;1057.5739,455.64886;1057.5227,621.4484;641.48,621.57983
1249.5684,5471.3306;2276.8086,5471.329;2276.828,5640.418;1249.587,5640.43
7440.398,4720.8613;8196.6,4719.3154;8196.328,4811.401;7440.165,4812.868
6827.4985,3140.9954;7421.1655,3141.3513;7421.0747,3264.0818;6827.408,3263.7354
7487.8403,2059.5823;8181.8906,2056.5183;8181.0728,2154.86;7487.087,2157.7192
7686.793,3152.5784;7763.0874,3152.6038;7763.1514,3229.7205;7686.861,3229.7136
6862.45,1106.1932;7467.038,1106.1493;7467.0874,1233.8403;6862.497,1233.8826
7489.9507,1970.5577;8189.6914,1967.8201;8189.087,2053.391;7489.4204,2055.9995
2352.6692,1541.334;3507.2178,1541.2194;3507.2007,1727.3519;2352.6558,1727.4272
763.1637,791.59174;1033.3323,791.53094;1033.3884,934.4011;763.22845,934.43976
120.4502,1278.7596;190.69212,1278.7533;190.69934,1426.2924;120.510284,1426.3563
3642.326,1828.2864;3880.163,1828.1581;3880.138,2087.2563;3642.3032,2087.3618
2354.8047,4709.1763;3534.8176,4709.2314;3534.821,4914.6646;2354.8096,4914.686
4889.5913,482.77792;8338.503,482.01624;8338.803,633.7405;4889.914,634.34625
2333.3772,5483.1978;3602.9072,5483.2334;3602.8872,5720.028;2333.356,5720.054
208.41675,430.7216;312.52927,430.61685;312.51193,648.62976;208.4129,648.71326
1076.2625,1957.3633;2022.3578,1957.2677;2022.2631,2240.1465;1076.1686,2240.2974
3620.539,3111.854;4262.851,3111.3943;4262.656,3306.1572;3620.3542,3306.566
1147.9003,1493.8555;1881.7147,1493.3938;1881.5195,1696.5707;1147.7162,1696.9878
174.1463,847.538;235.5134,847.3216;235.4479,1017.7614;174.1423,1018.0093
7488.043,1876.7474;8186.713,1875.227;8186.4365,1979.7596;7487.8086,1981.2518
3592.0806,3889.1765;4293.1313,3888.981;4293.05,4169.8;3592.0198,4169.9883
2356.3545,2241.2253;2748.363,2241.151;2748.3848,2314.1067;2356.365,2314.1504
1097.9883,2882.9429;1996.862,2882.9075;1996.8843,3036.1003;1098.0099,3036.1323
118.15321,1149.3099;200.46375,1149.3541;200.55647,1262.3964;118.27687,1262.3951
7473.9204,3455.6267;8176.5527,3454.8188;8176.1562,3690.9595;7473.551,3691.7627
7518.702,4237.5728;8194.54,4236.995;8194.318,4395.5557;7518.4937,4396.0996
2352.1626,2341.824;3522.5686,2340.6829;3522.033,2591.0762;2351.6697,2592.188
4655.8945,648.92993;5452.2617,648.9636;5452.2363,964.0544;4655.866,964.0892
97.79091,3215.473;188.45659,3215.085;188.32979,3377.6848;97.68707,3377.9915
7469.83,1191.1469;8251.7295,1191.1152;8251.71,1436.5609;7469.8076,1436.5905
7512.73,4583.465;8199.903,4581.5596;8199.46,4682.5137;7512.3516,4684.31
1055.3284,3953.2107;2407.2214,3953.2097;2407.2327,4101.8;1055.3427,4101.803
1119.6829,1215.7902;1887.1575,1215.8892;1887.1566,1422.4314;1119.6821,1422.4501
7580.662,812.13544;8080.8574,810.9462;8080.352,986.76166;7580.1807,987.973
105.36034,3382.2332;198.57204,3382.2263;198.61646,3591.4841;105.41888,3591.4436
7464.2803,4903.734;8190.966,4902.0054;8190.676,5003.448;7464.035,5005.1333
5444.5903,654.0541;6133.484,654.30365;6133.467,975.67145;5444.572,975.59753
3615.5408,3425.9504;3899.0254,3425.204;3898.7642,3738.7148;3615.3076,3739.3103
911.21045,4663.6216;2268.5518,4663.5596;2268.5654,4806.8496;911.2208,4806.89
128.5703,5899.4077;388.72632,5899.392;388.64694,6122.233;128.53117,6122.401
789.62354,1378.5;929.39087,1378.5017;929.4086,1510.3756;789.6207,1510.3843
7486.861,1398.0812;8191.274,1397.2013;8190.902,1597.223;7486.5117,1597.9893
104.027985,4874.33;216.77406,4874.3228;216.7998,5047.5273;104.0558,5047.5264
3617.5344,4710.4736;4075.9324,4710.3647;4075.8354,4917.895;3617.4316,4918.0703
