8067.5854,913.5776;8348.675,913.2549;8348.604,1001.3615;8067.575,1001.68805
777.4028,933.65845;1074.7972,933.70013;1074.8029,1064.7003;777.4796,1064.7778
7442.8486,909.6772;7887.286,909.5782;7887.346,975.55994;7442.887,975.63513
2988.1868,3629.4602;3915.8274,3628.346;3915.6545,3730.2446;2988.0435,3731.2866
4625.2036,1993.5477;6204.7295,1992.0908;6204.045,2202.1514;4624.5127,2203.3213
2980.6565,2071.824;3913.6716,2071.1753;3913.5574,2191.9678;2980.5603,2192.5974
2029.682,479.04382;3020.7576,479.08304;3020.775,655.3277;2029.7014,655.31525
3009.712,5184.683;3897.383,5184.3154;3897.373,5286.4116;3009.7058,5286.7275
3963.6562,5365.766;4294.7476,5365.024;4294.406,5556.973;3963.376,5557.6997
3957.067,2261.2876;4247.6577,2260.367;4247.3555,2338.207;3956.8335,2339.0676
4628.0205,3268.3657;6215.83,3267.7747;6215.6113,3425.8062;4627.812,3426.3103
3955.5027,3822.0989;4287.426,3820.6309;4286.746,4028.8765;3954.9019,4030.254
4639.721,860.1221;6207.497,860.1006;6207.541,1012.1575;4639.765,1012.1709
3124.2473,867.8099;4054.137,867.7789;4054.2805,1012.1334;3124.4177,1012.18896
1861.5798,899.6525;2698.726,898.7072;2698.5908,1002.98627;1861.4653,1003.92163
2987.09,3823.22;3914.1377,3822.4182;3913.8054,3996.2527;2986.776,3996.9707
3991.9023,4365.1987;4207.085,4365.174;4207.1533,4423.9907;3991.9504,4423.977
4629.175,2751.913;6299.018,2750.9336;6298.6045,3080.4453;4628.772,3081.2695
2972.0027,3433.6426;3635.65,3433.5918;3635.7239,3528.673;2972.071,3528.6978
4609.011,1383.9916;6224.2134,1382.2703;6223.5747,1563.0337;4608.427,1564.4718
7372.7363,4693.738;8006.2803,4693.0576;8005.9263,4966.377;7372.406,4967.11
1287.2769,4813.73;2801.9238,4813.739;2801.8857,5237.2827;1287.237,5237.292
4662.29,520.5377;7134.828,519.8723;7134.5635,681.1011;4662.0205,681.5929
6323.4043,4628.1587;7280.845,4627.6147;7280.5596,4836.9;6323.1143,4837.393
4636.3545,1595.7457;7272.112,1595.2642;7271.894,1833.0204;4636.139,1833.4608
2984.4202,1883.279;3680.4802,1883.181;3680.535,1973.3701;2984.4692,1973.4196
4549.493,4274.5195;7335.659,4274.2954;7335.5137,4714.593;4549.3325,4714.76
3048.0642,4975.1924;3650.876,4975.121;3650.9175,5068.374;3048.108,5068.419
2942.607,3025.133;3946.647,3025.0273;3946.5845,3284.2393;2942.5466,3284.3433
5023.2935,3521.791;6219.1294,3520.823;6218.9907,3625.6345;5023.1777,3626.5576
2164.5168,1212.9468;2654.882,1212.8757;2654.9092,1370.0387;2164.5488,1370.0857
1227.118,3346.028;2844.3032,3345.9888;2844.2747,3645.233;1227.082,3645.2642
250.67719,284.15967;386.67987,284.1311;386.65414,619.9525;250.6372,620.045
4637.403,1747.7225;7279.892,1747.656;7279.893,1888.5182;4637.3916,1888.5493
3959.958,3398.101;4069.8755,3398.1711;4069.9583,3473.9243;3960.0269,3473.9182
7336.527,3772.3218;7987.3926,3772.067;7987.253,4152.313;7336.39,4152.535
216.90417,834.1236;313.31924,834.0536;313.3174,1048.5767;216.90149,1048.6343
2964.9937,1691.9532;3950.0352,1691.6919;3950.0713,1796.6506;2965.0388,1796.8969
4650.128,827.51404;7131.696,827.04114;7131.519,1033.1621;4649.9595,1033.5596
7369.9424,2944.2021;7992.7476,2944.1377;7992.6924,3768.7625;7369.909,3768.8796
8829.892,1642.0408;9047.74,1641.8584;9047.77,1759.0023;8829.952,1759.1173
151.6396,1298.6516;260.16714,1298.4097;260.12875,1415.6517;151.6301,1415.9004
3974.0928,2786.6353;4203.7812,2785.9336;4203.5845,2872.148;3973.914,2872.7322
2990.8323,4597.9204;3907.159,4597.2305;3906.888,4796.328;2990.5815,4796.9307
4614.6733,1182.7617;6233.5645,1182.2262;6233.4795,1309.2456;4614.6006,1309.769
233.20192,6001.978;471.10223,6001.9097;471.02762,6169.2285;233.09917,6169.256
164.04457,1051.5902;354.6486,1051.46;354.6091,1205.453;164.01773,1205.562
3014.5098,4416.7783;3879.1306,4416.705;3879.151,4567.6533;3014.5322,4567.709
7342.723,4486.9062;7990.17,4486.8853;7990.152,4804.0596;7342.7026,4804.059
142.18382,4254.439;282.15686,4254.4785;282.1689,4439.209;142.18454,4439.2056
2965.2188,1542.3992;3910.5857,1541.6724;3910.2253,1769.278;2964.8777,1769.9803
1229.9385,1874.7336;2760.3257,1874.8354;2760.522,2020.6234;1230.173,2020.4695
8067.689,3388.6116;8452.038,3388.535;8452.074,3487.9329;8067.724,3487.9849
3961.017,4945.7173;4058.6572,4945.8086;4058.7295,5013.6123;3961.0828,5013.5854
120.68034,4677.639;280.52496,4676.824;280.17642,4893.475;120.35035,4894.257
203.92784,5843.5854;433.38477,5843.471;433.35916,6141.956;203.89793,6142.0156
2986.8262,2854.3628;3778.8022,2853.4846;3778.4463,3063.2676;2986.4868,3064.0288
136.97733,1425.2726;272.2243,1425.2087;272.15778,1599.487;136.94174,1599.6305
150.1621,4103.271;289.2581,4103.235;289.23508,4326.7017;150.12157,4326.718
