929.06744,405.57037;1532.4458,405.09644;1532.265,464.2367;928.907,464.7011
4334.4067,231.41064;4615.285,231.40005;4615.3105,306.38348;4334.428,306.39993
1622.1425,2820.8372;2116.4597,2821.4917;2116.4617,2880.6143;1622.1344,2879.9495
1625.9268,1024.084;1952.9535,1024.0483;1952.9869,1079.3873;1625.9529,1079.4198
902.8564,1942.0662;1522.2607,1941.9436;1522.2034,2055.3057;902.8002,2055.4224
1620.0493,1677.3486;2122.4285,1677.0111;2122.3923,1732.8268;1620.0188,1733.138
1149.4554,191.11226;1706.1935,191.12617;1706.2026,292.20224;1149.4668,292.19937
1636.6256,2623.6724;1983.5754,2623.5996;1983.5941,2675.5393;1636.6434,2675.595
1625.2113,2724.198;1988.1316,2724.1545;1988.1664,2770.478;1625.2394,2770.5046
3596.6746,1578.3405;4125.771,1577.7426;4125.661,1627.8296;3596.5762,1628.406
2170.3206,1443.0939;2345.9048,1443.1918;2345.9922,1499.4171;2170.4011,1499.3337
3620.4578,1648.0618;4222.557,1646.1252;4222.1196,1696.225;3620.0725,1698.0942
82.676674,502.95184;161.06055,502.9498;161.0504,621.22064;82.6535,621.2327
2158.2817,583.64606;2278.5803,583.32916;2278.4792,649.4971;2158.1738,649.70886
1620.0393,1122.8698;2120.029,1122.9521;2120.0544,1177.2567;1620.0585,1177.1605
90.17773,218.93909;145.89856,218.92238;145.90904,312.49634;90.20077,312.52567
560.41046,2264.958;758.02704,2264.518;757.82935,2338.7979;560.24896,2339.2725
4177.131,2241.6982;4550.9917,2241.6619;4551.0015,2306.9858;4177.1406,2307.0132
1625.6901,920.10376;1983.6305,920.0808;1983.6438,985.07556;1625.7017,985.08826
1613.6191,1779.8185;2013.6162,1779.7671;2013.6523,1833.1383;1613.6498,1833.1653
2182.1675,2881.522;2461.2852,2881.497;2461.3276,2926.336;2182.2002,2926.3647
1620.2367,1227.4849;2104.9,1227.4536;2104.8909,1298.7616;1620.227,1298.7858
2300.0996,2462.041;2356.17,2461.6392;2356.066,2510.3813;2300.0037,2510.8108
2609.9973,1396.2776;3573.248,1395.8862;3573.0974,1507.2869;2609.8523,1507.6206
70.13135,1494.0548;257.34628,1493.7041;257.2099,1604.5608;70.04504,1604.913
2597.1545,2231.8289;3558.3567,2231.6416;3558.259,2424.231;2597.058,2424.4194
2736.3474,347.93048;3488.427,347.53366;3488.2769,476.8351;2736.2092,477.17883
1616.4325,718.76953;2125.7307,718.719;2125.7205,821.0805;1616.4209,821.12213
2577.3857,620.29785;3575.6663,619.64355;3575.3354,749.8098;2577.0542,750.38416
884.9172,2736.9944;1485.4756,2736.9834;1485.4742,2842.9946;884.9156,2843.0063
1635.4863,2919.295;2126.6973,2919.2483;2126.715,2976.9236;1635.5026,2976.9434
2588.2917,1512.1727;3568.2908,1511.8048;3568.1292,1641.4412;2588.1355,1641.763
79.99965,2438.6038;212.6011,2438.5872;212.59271,2586.8718;79.98657,2586.8945
2168.2842,2638.218;2494.5605,2637.4119;2494.4358,2691.6182;2168.1782,2692.3977
565.5209,360.42264;827.38336,360.18582;827.2734,482.07605;565.4141,482.32242
87.1447,1789.6515;190.75021,1789.6309;190.76111,1886.9668;87.14761,1886.9988
3626.4475,371.51282;4099.9824,371.17987;4099.8433,497.38162;3626.3157,497.67734
73.13901,1929.1864;170.81477,1929.1487;170.81993,2055.8164;73.1372,2055.851
1624.3248,2532.171;2119.3257,2531.2786;2119.1748,2590.036;1624.1986,2590.89
1619.1487,1880.0718;2003.4131,1880.0205;2003.4309,1930.6171;1619.1611,1930.65
1618.324,833.56647;2043.1079,833.5408;2043.1345,894.5299;1618.3491,894.5397
2170.413,1512.1742;2446.099,1510.9082;2445.8918,1568.4136;2170.2385,1569.6722
1627.0446,2429.2908;2139.064,2428.8818;2138.891,2549.3252;1626.8829,2549.698
2590.2585,543.4106;3549.2178,543.0819;3549.0847,637.6616;2590.1296,637.9506
4163.9517,2349.9304;4562.642,2349.9136;4562.656,2528.567;4163.967,2528.5435
2144.629,1847.8105;2456.1985,1847.6669;2456.123,1970.827;2144.5525,1970.9742
1623.0435,1464.7192;1930.8997,1464.6996;1930.9193,1537.9974;1623.0599,1538.019
596.26105,1152.5931;676.8702,1152.3918;676.7862,1201.7827;596.15967,1201.9937
2164.9797,761.85077;2478.093,761.85565;2478.1196,878.2364;2164.9932,878.2501
1618.3813,1971.8706;2118.8486,1971.4929;2118.8093,2026.6742;1618.3485,2027.0286
62.89589,905.6402;109.82674,905.39215;109.71348,983.49896;62.81271,983.77936
534.0452,229.3921;806.3524,229.37941;806.36816,307.4208;534.0571,307.4412
1637.8679,2071.65;2128.3652,2071.5952;2128.4094,2117.777;1637.9052,2117.802
2578.342,1757.2344;3537.2913,1756.7773;3537.0974,1865.1968;2578.1606,1865.5974
2304.846,651.28143;2455.3994,650.689;2455.258,717.0521;2304.7231,717.5635
547.5621,942.368;824.56085,941.4383;824.3972,993.3556;547.4188,994.28076
1621.8202,1571.4221;2007.3646,1571.3997;2007.376,1644.0529;1621.8308,1644.0713
2585.553,1686.5837;3582.839,1686.3789;3582.7642,1777.5599;2585.4785,1777.7308
91.72531,1175.8641;153.28651,1175.8351;153.27531,1303.9216;91.71767,1303.9618
2184.3474,2274.088;2459.0781,2272.9346;2458.967,2326.9563;2184.2183,2328.1145
