1,4,8,8
1,2,1,1
1,1,7,7
12,12,4,4
5,5,5,5
6,6,4,4
0,0,1,3
17,17,4,4
18,18,4,4
7,7,4,4
10,10,5,5
13,13,4,4
1,1,5,5
1,1,3,3
1,1,2,2
13,13,4,4
14,14,4,4
8,8,5,5
11,11,4,4
3,3,5,5
15,15,7,7
16,16,2,2
0,0,5,6
15,16,6,6
4,4,5,5
5,5,4,4
14,14,5,5
16,16,4,4
9,9,4,4
11,11,5,5
2,2,2,3
11,11,2,2
0,0,0,0
4,4,5,5
10,10,4,4
12,12,7,7
1,1,0,0
4,4,4,4
1,1,5,5
10,10,7,7
4,4,9,9
2,3,0,0
8,8,4,4
15,15,4,4
2,2,5,5
20,20,0,0
2,2,0,0
14,14,3,3
14,14,7,7
13,13,0,0
3,3,4,4
4,4,2,2
10,10,8,8
16,16,4,4
15,15,0,0
19,19,0,0
8,8,4,4
3,3,0,0
13,13,0,0
